process,task_hash,c_bytes
NFCORE_CHIPSEQ-CHIPSEQ-DEEPTOOLS_PLOTFINGERPRINT,599f32b1,289082273
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-MULTIQC_CUSTOM_PEAKS,273d75b5,4323024
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-MULTIQC_CUSTOM_PEAKS,1395b040,4413674
NFCORE_CHIPSEQ-CHIPSEQ-PHANTOMPEAKQUALTOOLS,7241ca6b,17879745
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-MACS3_CALLPEAK,8c9eb360,50525608
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,059a98e6,17699994
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,62259bc7,13015938
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,ed05fa7d,13849310
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,53367ba4,12440366
NFCORE_CHIPSEQ-CHIPSEQ-MULTIQC_CUSTOM_PHANTOMPEAKQUALTOOLS,4cec8e81,14383612
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-FRIP_SCORE,6ce30a47,21592776
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,9093adc7,17215205
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,55a22355,13044787
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,666c227f,8517165
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,292b317a,8385140
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,13dfa9f5,16345390
NFCORE_CHIPSEQ-CHIPSEQ-PICARD_COLLECTMULTIPLEMETRICS,e7c4961d,122402078
NFCORE_CHIPSEQ-CHIPSEQ-BAM_PEAKS_CALL_QC_ANNOTATE_MACS3_HOMER-HOMER_ANNOTATEPEAKS,6e778869,57318247
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,6cbc7529,13670938
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,e395e123,8361573
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,0289728b,7342735
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,b07e5b05,13607656
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,a22226a2,7597284
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,d0354af8,7875460
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,89079b13,12151757
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,0961fc24,16993175
